stock_name	*germplasm_type	alias	*genus	*species	maternal_parent	paternal_parent	mutation_parent	selfing_parent	pedigree	description	origin	comments	stock_name_norm	alias_norm	source_book
CIMBL52	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL52			AMP	CIMBL52		metabolite_183_known
CIMBL53	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL53			AMP	CIMBL53		metabolite_183_known
CIMBL54	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL54			AMP	CIMBL54		metabolite_183_known
CIMBL55	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL55			AMP	CIMBL55		metabolite_183_known
CIMBL56	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL56			AMP	CIMBL56		metabolite_183_known
CIMBL57	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL57			AMP	CIMBL57		metabolite_183_known
CIMBL58	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL58			AMP	CIMBL58		metabolite_183_known
CIMBL59	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL59			AMP	CIMBL59		metabolite_183_known
CIMBL6	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL6			AMP	CIMBL6		metabolite_183_known
CIMBL60	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL60			AMP	CIMBL60		metabolite_183_known
CIMBL61	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL61			AMP	CIMBL61		metabolite_183_known
CIMBL62	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL62			AMP	CIMBL62		metabolite_183_known
CIMBL63	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL63			AMP	CIMBL63		metabolite_183_known
CIMBL65	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL65			AMP	CIMBL65		metabolite_183_known
CIMBL66	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL66			AMP	CIMBL66		metabolite_183_known
CIMBL67	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL67			AMP	CIMBL67		metabolite_183_known
CIMBL68	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL68			AMP	CIMBL68		metabolite_183_known
CIMBL69	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL69			AMP	CIMBL69		metabolite_183_known
CIMBL7	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL7			AMP	CIMBL7		metabolite_183_known
CIMBL70	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL70			AMP	CIMBL70		metabolite_183_known
CIMBL71	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL71			AMP	CIMBL71		metabolite_183_known
CIMBL72	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL72			AMP	CIMBL72		metabolite_183_known
CIMBL73	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL73			AMP	CIMBL73		metabolite_183_known
CIMBL74	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL74			AMP	CIMBL74		metabolite_183_known
CIMBL75	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL75			AMP	CIMBL75		metabolite_183_known
CIMBL76	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL76			AMP	CIMBL76		metabolite_183_known
CIMBL77	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL77			AMP	CIMBL77		metabolite_183_known
CIMBL78	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL78			AMP	CIMBL78		metabolite_183_known
CIMBL79	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL79			AMP	CIMBL79		metabolite_183_known
CIMBL8	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL8			AMP	CIMBL8		metabolite_183_known
CIMBL80	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL80			AMP	CIMBL80		metabolite_183_known
CIMBL81	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL81			AMP	CIMBL81		metabolite_183_known
CIMBL82	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL82			AMP	CIMBL82		metabolite_183_known
CIMBL83	cultivar		Zea	mays cultivar:B73					test-pedigree-CIMBL83			AMP	CIMBL83		metabolite_183_known
