trait_descriptor_set	*descriptor_name	Alias	*format	trait_name	data_unit	definition	source_book
SITE_CV	Apigenin_C_pentosyl_C_pentoside_E2		numeric				metabolite_183_known
SITE_CV	Tricin_derivative_E2		numeric				metabolite_183_known
SITE_CV	Chrysoeriol_C_hexosyl_O_pentoside_E2		numeric				metabolite_183_known
SITE_CV	Chrysoeriol_O_rhamnosyl_O_hexoside_E2		numeric				metabolite_183_known
SITE_CV	N.N_Di_coumaroyl_N_feruloylspermidine_E2		numeric				metabolite_183_known
SITE_CV	Chrysoeriol_di_O_hexoside_E2		numeric				metabolite_183_known
SITE_CV	Tricin_4p_O_threo_beta_guaiacylglyceryl_ether_O_hexoside_E2		numeric				metabolite_183_known
SITE_CV	Apigenin_C_pentosyl_O_coumaroylhexoside_E2		numeric				metabolite_183_known
SITE_CV	C_pentosyl_apigenin_O_caffeoylhexoside_E2		numeric				metabolite_183_known
SITE_CV	Ferulic_acid_E2		numeric				metabolite_183_known
SITE_CV	Uracil_E2		numeric				metabolite_183_known
SITE_CV	D_Glucose_6_phosphate_E2		numeric				metabolite_183_known
SITE_CV	Guanosine_E2		numeric				metabolite_183_known
SITE_CV	3_Oxo_2_2_entenylcyclopentaneoctanoic_acid_E2		numeric				metabolite_183_known
SITE_CV	Chrysoeriol_E2		numeric				metabolite_183_known
SITE_CV	Quercetin_E2		numeric				metabolite_183_known
SITE_CV	Hesperetin_E2		numeric				metabolite_183_known
SITE_CV	Feruloylagmatine_derivative_E2		numeric				metabolite_183_known
SITE_CV	N_Feruloylagmatine_E2		numeric				metabolite_183_known
SITE_CV	Glutathione_E2		numeric				metabolite_183_known
SITE_CV	Selgin_derivative_E2		numeric				metabolite_183_known
SITE_CV	N_Feruloyl._N_methoxyagmatine_E2		numeric				metabolite_183_known
SITE_CV	Bufotenine_O_glucoside_E2		numeric				metabolite_183_known
SITE_CV	L_Proline_E2		numeric				metabolite_183_known
SITE_CV	Tricin_O_hexoside_E2		numeric				metabolite_183_known
SITE_CV	Malvidin_3_O_hexoside_E2		numeric				metabolite_183_known
SITE_CV	3p.4p.5p_Tricetin_O_hexoside_E2		numeric				metabolite_183_known
SITE_CV	N.N_caffeoyl.Feruloyl_spermidine_derivative_E2		numeric				metabolite_183_known
SITE_CV	Chrysoeriol_C_hexosyl_O_rhamnoside_E2		numeric				metabolite_183_known
SITE_CV	Hesperidin_E2		numeric				metabolite_183_known
SITE_CV	Chrysoeriol_di_C_hexoside_E2		numeric				metabolite_183_known
SITE_CV	Tricin_O_pentosyl_O_hexoside_E2		numeric				metabolite_183_known
SITE_CV	Tricin_O_rhamnosyl_O_hexoside_E2		numeric				metabolite_183_known
SITE_CV	3p.4p.5p_Tricetin_O_rhamnosyl_O_hexoside_E2		numeric				metabolite_183_known
SITE_CV	Malvidin_di_O_hexoside_E2		numeric				metabolite_183_known
SITE_CV	trans_Zeatin_riboside_E2		numeric				metabolite_183_known
SITE_CV	L_Valine_E3		numeric				metabolite_183_known
SITE_CV	L_Threonine_E3		numeric				metabolite_183_known
SITE_CV	Nicotinic_Acid_E3		numeric				metabolite_183_known
SITE_CV	Pyroglutamic_acid_E3		numeric				metabolite_183_known
SITE_CV	L_Pipecolate_E3		numeric				metabolite_183_known
SITE_CV	L_Aspartic_acid_E3		numeric				metabolite_183_known
SITE_CV	L_Methionine_E3		numeric				metabolite_183_known
SITE_CV	Phenylpyruvic_acid_E3		numeric				metabolite_183_known
SITE_CV	2.6_diformyl_4_methylphenol_E3		numeric				metabolite_183_known
SITE_CV	L_Arginine_E3		numeric				metabolite_183_known
SITE_CV	5_Hydroxyindoleacetic_acid_E3		numeric				metabolite_183_known
SITE_CV	3_2_Hydroxyethyl_4_methyl_1.2.3.4_pentanetetrol_E3		numeric				metabolite_183_known
SITE_CV	D_Pantothenic_acid_E3		numeric				metabolite_183_known
SITE_CV	Pro_Leu_E3		numeric				metabolite_183_known
SITE_CV	N_3_Indolylacetyl_L_alanine_E3		numeric				metabolite_183_known
SITE_CV	sn_Glycero_3_Phosphocholine_E3		numeric				metabolite_183_known
SITE_CV	N_Feruloylputrescine_E3		numeric				metabolite_183_known
SITE_CV	12_Hydroxy_6_epi_albrassitriol_E3		numeric				metabolite_183_known
SITE_CV	Naringenin_E3		numeric				metabolite_183_known
SITE_CV	Naringenin_derivative_E3		numeric				metabolite_183_known
SITE_CV	L_saccharopine_E3		numeric				metabolite_183_known
SITE_CV	Linolenic_acid_E3		numeric				metabolite_183_known
SITE_CV	Linoleic_acid_E3		numeric				metabolite_183_known
SITE_CV	Norcinnamolaurine_E3		numeric				metabolite_183_known
SITE_CV	Sakuranetin_E3		numeric				metabolite_183_known
SITE_CV	N_coumaroyl_O_hexoside_spermidine_E3		numeric				metabolite_183_known
SITE_CV	5_Methylthioadenosine_E3		numeric				metabolite_183_known
SITE_CV	N_Coumaroyltryptamine_E3		numeric				metabolite_183_known
SITE_CV	Coumaroylserotonin_E3		numeric				metabolite_183_known
SITE_CV	Feruloyltryptamine_E3		numeric				metabolite_183_known
SITE_CV	Adenylic_acid_E3		numeric				metabolite_183_known
SITE_CV	Feruloylserotonin_E3		numeric				metabolite_183_known
SITE_CV	Dicoumaroylputrescine_E3		numeric				metabolite_183_known
SITE_CV	Glycerol_1_tetradecanoate_3_phosphocholine_E3		numeric				metabolite_183_known
SITE_CV	N_caffeoyl_O_hexoside_spermidine_E3		numeric				metabolite_183_known
SITE_CV	Diferuloylputrescine_E3		numeric				metabolite_183_known
SITE_CV	N_feruloyl_O_hexoside_spermidine_E3		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_16:1_2_E3		numeric				metabolite_183_known
SITE_CV	N1._N10_Diferuloylspermidine_E3		numeric				metabolite_183_known
SITE_CV	Np.Npp_Feruloyl.caffeoyl_spermidine_derivative_E3		numeric				metabolite_183_known
SITE_CV	2pp.6pp_O_Diacetyloninin_E3		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:2_1_E3		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:1_E3		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:0_E3		numeric				metabolite_183_known
SITE_CV	Tricin_4p_O_threo_beta_guaiacylglyceryl_ether_E3		numeric				metabolite_183_known
SITE_CV	Tricin_4p_O_threo_beta_guaiacylglyceryl_ether_E3		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_20:4_E3		numeric				metabolite_183_known
SITE_CV	Lehmbachol_A_E3		numeric				metabolite_183_known
SITE_CV	Apigenin_C_hexosyl_C_pentoside_E3		numeric				metabolite_183_known
SITE_CV	Viscumamide_E3		numeric				metabolite_183_known
SITE_CV	Triornicin_E3		numeric				metabolite_183_known
SITE_CV	L_Histidine_E3		numeric				metabolite_183_known
SITE_CV	L_Carnitine_E3		numeric				metabolite_183_known
SITE_CV	Pyridoxate_2_E3		numeric				metabolite_183_known
SITE_CV	Diaminopimelic_acid_E3		numeric				metabolite_183_known
SITE_CV	Scopoletin_E3		numeric				metabolite_183_known
SITE_CV	N_Acetyldopamine_E3		numeric				metabolite_183_known
SITE_CV	DIMBOA_E3		numeric				metabolite_183_known
SITE_CV	7_Oxo_11_dodecenoic_acid_E3		numeric				metabolite_183_known
SITE_CV	Nalidixic_acid_E3		numeric				metabolite_183_known
SITE_CV	2_Amino_1.3.4_hexadecanetriol_E3		numeric				metabolite_183_known
