trait	trait_group	total_non_missing	train_non_missing	val_non_missing	test_non_missing	missing_rate	variance	used_for_baseline
metabolite__L_Carnitine_E2	metabolite	320	238	44	38	0.30585683297180044	12736461801.626175	True
metabolite__Pyridoxate_2_E2	metabolite	320	238	44	38	0.30585683297180044	24065942954.44749	True
metabolite__Diaminopimelic_acid_E2	metabolite	320	238	44	38	0.30585683297180044	34682823774137.93	True
metabolite__Scopoletin_E2	metabolite	320	238	44	38	0.30585683297180044	402794742701.8025	True
metabolite__7_Oxo_11_dodecenoic_acid_E2	metabolite	320	238	44	38	0.30585683297180044	1934753735451.0188	True
metabolite__Nalidixic_acid_E2	metabolite	320	238	44	38	0.30585683297180044	39124522745021.9	True
metabolite__2_Amino_1_3_4_hexadecanetriol_E2	metabolite	320	238	44	38	0.30585683297180044	36751515514793.54	True
metabolite__9_Oxo_12_octadecenoic_acid_E2	metabolite	320	238	44	38	0.30585683297180044	74698194.60815047	True
metabolite__Hydroxylinoleic_acid_E2	metabolite	320	238	44	38	0.30585683297180044	88253838319.35736	True
metabolite__N_acetylneuraminic_acid_E2	metabolite	320	238	44	38	0.30585683297180044	474428349686.5204	True
metabolite__Gibberellin_A4_E2	metabolite	320	238	44	38	0.30585683297180044	6917213051.626176	True
metabolite__Acetylintermedine_E2	metabolite	320	238	44	38	0.30585683297180044	600321936405.294	True
metabolite__Serotonin_E2	metabolite	320	238	44	38	0.30585683297180044	417880187802.11597	True
metabolite__Caffeic_acid_derivative_E2	metabolite	320	238	44	38	0.30585683297180044	505562574956.0148	True
metabolite__L_Tryptophan_E2	metabolite	320	238	44	38	0.30585683297180044	478275297413793.1	True
metabolite__Elaeokanine_C_E2	metabolite	320	238	44	38	0.30585683297180044	587681744852.6244	True
metabolite__Ethyl_syringate_E2	metabolite	320	238	44	38	0.30585683297180044	64795870811.52038	True
metabolite__Halaminol_A_E2	metabolite	320	238	44	38	0.30585683297180044	619571468642.2413	True
metabolite__N_Coumaroylputrescine_E2	metabolite	320	238	44	38	0.30585683297180044	976478809404.3887	True
metabolite__Apodophyllone_E2	metabolite	320	238	44	38	0.30585683297180044	42079930163.695145	True
metabolite__Austricine_E2	metabolite	320	238	44	38	0.30585683297180044	29125088745101.883	True
metabolite__Thiamin_E2	metabolite	320	238	44	38	0.30585683297180044	23725840712186.52	True
metabolite__Apigenin_E2	metabolite	320	238	44	38	0.30585683297180044	16768033900.837692	True
metabolite__N_Coumaroylagmatine_E2	metabolite	320	238	44	38	0.30585683297180044	92416672612.43631	True
metabolite__Crotonoside_E2	metabolite	320	238	44	38	0.30585683297180044	13491481939655.172	True
metabolite__Sphinganine_E2	metabolite	320	238	44	38	0.30585683297180044	116259100783.3072	True
metabolite__N2_N2_Dimethylguanosine_E2	metabolite	320	238	44	38	0.30585683297180044	7981555684294.277	True
metabolite__Caffeoyltryptamine_E2	metabolite	320	238	44	38	0.30585683297180044	36321253002.961914	True
metabolite__2_Amino_9_methyl_4_octadecene_1_3_8_triol_E2	metabolite	320	238	44	38	0.30585683297180044	68264709893.31896	True
metabolite__Tricin_E2	metabolite	320	238	44	38	0.30585683297180044	481058161315.047	True
metabolite__Fructose_1_6_diphosphate_E2	metabolite	320	238	44	38	0.30585683297180044	272847420325.62695	True
metabolite__N_Coumaroyl_spermidine_derivative_E2	metabolite	320	238	44	38	0.30585683297180044	118672785840.78488	True
metabolite__Zeanoside_B_E2	metabolite	320	238	44	38	0.30585683297180044	462830379148.86755	True
metabolite__trans_Zeatin_O_glucoside_E2	metabolite	320	238	44	38	0.30585683297180044	22607275104075.234	True
metabolite__Succinyladenosine_E2	metabolite	320	238	44	38	0.30585683297180044	14669674195052.896	True
metabolite__Acetosyringone_E2	metabolite	320	238	44	38	0.30585683297180044	9503102763479.623	True
metabolite__Apigenin_C_pentoside_E2	metabolite	320	238	44	38	0.30585683297180044	2410725333.2190833	True
metabolite__Lincomycin_E2	metabolite	320	238	44	38	0.30585683297180044	20979615.67300157	True
metabolite__Apigenin_7_O_glucoside_E2	metabolite	320	238	44	38	0.30585683297180044	24820141440.299515	True
metabolite__Vitexin_E2	metabolite	320	238	44	38	0.30585683297180044	49305431880.48589	True
metabolite__Apigenin_8_C_glucoside_E2	metabolite	320	238	44	38	0.30585683297180044	3275825470.9551334	True
metabolite__Cyanidin_3_O_glucoside_E2	metabolite	320	238	44	38	0.30585683297180044	84320049654.29076	True
metabolite__Chrysoeriol_O_hexoside_E2	metabolite	320	238	44	38	0.30585683297180044	70950390070.91594	True
metabolite__LPC1_acyl_15_0_1_E2	metabolite	320	238	44	38	0.30585683297180044	387045547962.38245	True
metabolite__LPC1_acyl_15_0_2_E2	metabolite	320	238	44	38	0.30585683297180044	35230436306.32837	True
metabolite__Tricin_4p_O_erythro_beta_guaiacylglyceryl_ether_E2	metabolite	320	238	44	38	0.30585683297180044	10004992040.84604	True
metabolite__LPC1_acyl_18_3_1_E2	metabolite	320	238	44	38	0.30585683297180044	866516993632444.9	True
metabolite__LPC1_acyl_18_3_2_E2	metabolite	320	238	44	38	0.30585683297180044	7690181030564.264	True
metabolite__Apigenin_C_pentosyl_C_pentoside_E2	metabolite	320	238	44	38	0.30585683297180044	3308291562755.0938	True
metabolite__Tricin_derivative_E2	metabolite	320	238	44	38	0.30585683297180044	23485024017.38679	True
metabolite__Chrysoeriol_C_hexosyl_O_pentoside_E2	metabolite	320	238	44	38	0.30585683297180044	73530219792.7116	True
metabolite__Chrysoeriol_O_rhamnosyl_O_hexoside_E2	metabolite	320	238	44	38	0.30585683297180044	37824256654.96958	True
metabolite__N_N_Di_coumaroyl_N_feruloylspermidine_E2	metabolite	320	238	44	38	0.30585683297180044	3898185736332.1904	True
metabolite__Chrysoeriol_di_O_hexoside_E2	metabolite	320	238	44	38	0.30585683297180044	346713698075.8464	True
metabolite__Tricin_4p_O_threo_beta_guaiacylglyceryl_ether_O_hexoside_E2	metabolite	320	238	44	38	0.30585683297180044	6968641063.078958	True
metabolite__Apigenin_C_pentosyl_O_coumaroylhexoside_E2	metabolite	320	238	44	38	0.30585683297180044	45716401791.68887	True
metabolite__C_pentosyl_apigenin_O_caffeoylhexoside_E2	metabolite	320	238	44	38	0.30585683297180044	77116493845.61739	True
metabolite__Ferulic_acid_E2	metabolite	320	238	44	38	0.30585683297180044	35305014253.52665	True
metabolite__Uracil_E2	metabolite	320	238	44	38	0.30585683297180044	6011082239278.908	True
metabolite__D_Glucose_6_phosphate_E2	metabolite	320	238	44	38	0.30585683297180044	455357995679.85895	True
