seed	trait	model	split	train_non_missing	test_non_missing	n_eval	r2	pearson	spearman	mae	rmse
20260607	agri_aa_oil__Kernernumberperrow	genotype_population_gene_methylation_pca_ridge	test	164	36	36	0.10598020370740635	0.33365159408191397	0.32741312741312745	1.7783392333158805	2.2331248305997424
20260607	agri_aa_oil__Kernernumberperrow	genotype_population_sparse_methylation_elasticnet	test	164	36	36	0.018095897084353996	0.28211506168031597	0.2993564993564994	1.8685382018857009	2.3403131356682687
20260607	agri_aa_oil__Oil_C20_1P	genotype_population_ridge	test	156	35	35	0.04076999482797827	0.2669017582038057	0.19411764705882356	0.031964485139674204	0.04330041907385649
20260607	agri_aa_oil__Oil_C20_1P	genotype_population_gene_methylation_pca_ridge	test	156	35	35	0.06268125329367935	0.3363635280267171	0.2296918767507003	0.03399116247204885	0.04280301620374968
20260607	agri_aa_oil__Oil_C20_1P	genotype_population_sparse_methylation_elasticnet	test	156	35	35	0.019452864600283726	0.4164732140101026	0.34425770308123255	0.03517356602015907	0.04377891153580026
20260607	metabolite__Norcinnamolaurine_E1	genotype_population_ridge	test	114	29	29	0.04841703747227655	0.2822578154927897	0.451231527093596	7183533.386401673	9294811.9912174
20260607	metabolite__Norcinnamolaurine_E1	genotype_population_gene_methylation_pca_ridge	test	114	29	29	0.08035197083728651	0.3371492767378167	0.46108374384236434	6926155.884664328	9137515.002159743
20260607	metabolite__Norcinnamolaurine_E1	genotype_population_sparse_methylation_elasticnet	test	114	29	29	-0.048149490605413625	0.20522237393678083	0.22216748768472902	7618600.149427541	9755036.406783506
20260607	agri_aa_oil__Oil_C18_0	genotype_population_ridge	test	156	35	35	0.16228260924663473	0.42528266294570966	0.3988795518207283	0.028200260686875013	0.0616937979143341
20260607	agri_aa_oil__Oil_C18_0	genotype_population_gene_methylation_pca_ridge	test	156	35	35	0.2233890333124332	0.49218660748467946	0.6585434173669468	0.02497357522156602	0.05940110177537209
20260607	agri_aa_oil__Oil_C18_0	genotype_population_sparse_methylation_elasticnet	test	156	35	35	0.09179796459528966	0.3441432527617356	0.1557422969187675	0.036364312172994386	0.06423681156284063
20260607	agri_aa_oil__100grainweight	genotype_population_ridge	test	162	36	36	0.05004892544395201	0.23542222797254383	0.2362934362934363	1.9271851842954817	2.4216959419346615
20260607	agri_aa_oil__100grainweight	genotype_population_gene_methylation_pca_ridge	test	162	36	36	0.11533465510832841	0.3514248971866794	0.3855855855855856	1.8157135708176293	2.3369988695486446
20260607	agri_aa_oil__100grainweight	genotype_population_sparse_methylation_elasticnet	test	162	36	36	-0.040163232185199904	0.30295165003216673	0.34465894465894464	1.9445926445223423	2.534076631335515
20260607	metabolite__Pro_Leu_E1	genotype_population_ridge	test	114	29	29	-0.107305354911581	0.28108221621723284	0.2986693314934132	272378.9612252214	308768.9624383109
20260607	metabolite__Pro_Leu_E1	genotype_population_gene_methylation_pca_ridge	test	114	29	29	-0.3086602415526569	0.23138633960759022	0.21439135181457875	290375.2291460791	335670.6677384493
20260607	metabolite__Pro_Leu_E1	genotype_population_sparse_methylation_elasticnet	test	114	29	29	-1.0848979067570013	0.17184160124028622	0.028092659892944804	358518.7338641778	423684.26475328766
20260607	agri_aa_oil__Plantheight	genotype_population_ridge	test	164	36	36	0.17169814295595842	0.421500071277976	0.46924066924066926	16.036945961330197	19.911682437299092
20260607	agri_aa_oil__Plantheight	genotype_population_gene_methylation_pca_ridge	test	164	36	36	0.21792076221793866	0.49920613481131565	0.41595881595881595	15.009486782378522	19.348130950052713
20260607	agri_aa_oil__Plantheight	genotype_population_sparse_methylation_elasticnet	test	164	36	36	0.15009531940023513	0.3892259085250288	0.357014157014157	16.296788506821485	20.169668029319592
20260607	agri_aa_oil__Oil_C200_C220	genotype_population_ridge	test	156	35	35	0.09873539398396247	0.3694522958256862	0.4938375350140056	0.26865317262288063	0.5029723075170561
20260607	agri_aa_oil__Oil_C200_C220	genotype_population_gene_methylation_pca_ridge	test	156	35	35	0.2520529812705883	0.5399653087175342	0.7016806722689075	0.22086124161907356	0.45819815297157407
20260607	agri_aa_oil__Oil_C200_C220	genotype_population_sparse_methylation_elasticnet	test	156	35	35	0.16238480066164207	0.4130858024582123	0.4588235294117647	0.2789072760604855	0.4848866097908244
20260607	agri_aa_oil__Oil_C16_1	genotype_population_ridge	test	156	35	35	0.314210575829702	0.6164845512663024	0.5372549019607844	0.0013140188919614482	0.0017228636373789285
20260607	agri_aa_oil__Oil_C16_1	genotype_population_gene_methylation_pca_ridge	test	156	35	35	0.37386890572073717	0.6974542926739483	0.5988795518207284	0.0014166131583926295	0.0016462210441766025
20260607	agri_aa_oil__Oil_C16_1	genotype_population_sparse_methylation_elasticnet	test	156	35	35	0.20276934259235235	0.5939828347225288	0.6058823529411765	0.0015470571532221953	0.0018575799240960786
20260607	agri_aa_oil__Oil_C180_C200	genotype_population_ridge	test	156	35	35	0.02978764611543927	0.2086720533364138	0.2677871148459384	0.721543872523927	1.149267794503423
20260607	agri_aa_oil__Oil_C180_C200	genotype_population_gene_methylation_pca_ridge	test	156	35	35	0.08523209075864913	0.32851701444193027	0.4403361344537815	0.7022437388254558	1.1159463012351645
20260607	agri_aa_oil__Oil_C180_C200	genotype_population_sparse_methylation_elasticnet	test	156	35	35	0.06047931008630503	0.2818642043062825	0.42408963585434173	0.6519716090544029	1.1309437657383237
20260608	agri_aa_oil__Kernernumberperrow	genotype_population_ridge	test	164	36	36	-0.007205136944828938	0.2790613468082637	0.27722007722007724	1.6123460336451885	2.0870158248201354
20260608	agri_aa_oil__Kernernumberperrow	genotype_population_gene_methylation_pca_ridge	test	164	36	36	0.05160358760140593	0.3596510668002687	0.27207207207207207	1.6282952392972985	2.0251711284404803
20260608	agri_aa_oil__Kernernumberperrow	genotype_population_sparse_methylation_elasticnet	test	164	36	36	-0.044058234631778825	0.3095263510141742	0.26460746460746465	1.7181584434448156	2.124854209560749
20260608	agri_aa_oil__Oil_C20_1P	genotype_population_ridge	test	158	34	34	0.1956716981792902	0.517044995156487	0.5336898395721925	0.0383173001696253	0.05138000554273803
20260608	agri_aa_oil__Oil_C20_1P	genotype_population_gene_methylation_pca_ridge	test	158	34	34	0.19456046931654158	0.4625790313921898	0.4615737203972498	0.038511453133410256	0.05141548560639284
20260608	agri_aa_oil__Oil_C20_1P	genotype_population_sparse_methylation_elasticnet	test	158	34	34	0.18247051471523434	0.45685764348045804	0.440488922841864	0.04111479766584223	0.051799931336667396
