accession_id_norm	in_vcf	in_accession_index	has_population	has_metabolite	has_agri_aa_oil	strong_pair_population_phenotype	strong_pair_genotype_population_phenotype
SY999	True	True	True	False	True	True	True
TIAN77	True	True	True	True	True	True	True
TIE7922	True	True	True	True	True	True	True
TT16	True	True	True	False	True	True	True
TX5	True	True	True	False	True	True	True
TY1	True	True	True	True	True	True	True
TY10	True	True	True	False	True	True	True
TY11	True	True	True	True	True	True	True
TY2	True	True	True	True	True	True	True
TY3	True	True	True	True	True	True	True
TY4	True	True	True	True	True	True	True
TY5	True	True	True	True	True	True	True
TY6	True	True	True	True	True	True	True
TY7	True	True	True	False	True	True	True
TY8	True	True	True	False	True	True	True
TY9	True	True	True	False	True	True	True
U8112	True	True	True	True	True	True	True
W138	True	True	True	True	True	True	True
WH413	True	True	True	True	True	True	True
WMR	True	True	True	False	True	True	True
WU109	True	True	True	True	True	True	True
XI502	True	True	True	True	True	True	True
XUN971	True	True	True	True	True	True	True
XZ698	True	True	True	True	True	True	True
YAN414	True	True	True	False	True	True	True
YE107	False	True	False	False	True	False	False
YE478	True	True	True	True	True	True	True
YE488	True	True	True	False	False	False	False
YE515	True	True	True	True	True	True	True
YE52106	True	True	True	True	True	True	True
YE8001	True	True	True	True	True	True	True
YU374	True	True	True	True	True	True	True
YU87-1	True	True	True	False	True	True	True
YUN46	False	True	False	False	False	False	False
Z2018F	True	True	True	True	True	True	True
ZAC546	True	True	True	True	True	True	True
ZB648	True	True	True	True	True	True	True
ZH68	True	True	True	True	True	True	True
ZHENG22	True	True	True	False	True	True	True
ZHENG28	True	True	True	True	True	True	True
ZHENG29	True	True	True	True	True	True	True
ZHENG30	True	True	True	True	True	True	True
ZHENG32	True	True	True	True	True	True	True
ZHENG35	True	True	True	True	True	True	True
ZHENG58	True	True	True	False	True	True	True
ZHENG653	True	True	True	True	True	True	True
ZHI41	True	True	True	True	True	True	True
ZHONG69	True	True	True	True	True	True	True
ZI330	True	True	True	False	True	True	True
ZONG3	True	True	True	False	True	True	True
ZONG31	True	True	True	True	True	True	True
ZZ01	True	True	True	True	True	True	True
ZZ03	True	True	True	True	True	True	True
