trait	nearest_gene_id	gene_relation	lead_snps	min_p_value	min_q_value_bh	max_minus_log10_p	mean_abs_partial_correlation	min_distance_to_gene_bp
agri_aa_oil__Oil_C182_C183	Zm00001d009709	gene_body	1	1.8870112727711808e-10	2.417503364942033e-07	9.724225505405975	0.2995948645825558	0
agri_aa_oil__Oil_C182_C183	Zm00001d039747	gene_body	1	1.948717137747845e-10	2.449451649570651e-07	9.710251195479874	0.2993734259341419	0
agri_aa_oil__Oil_C182_C183	Zm00001d038013	cis_window	1	2.2288721101079987e-10	2.732843340108861e-07	9.651914850078676	0.2984469791497077	6890
agri_aa_oil__Oil_C182_C183	Zm00001d039364	gene_body	1	2.2817121491498518e-10	2.7637203835181377e-07	9.641739145159251	0.2982850386522052	0
agri_aa_oil__Oil_C182_C183	Zm00001d011579	gene_body	1	2.4343787863201657e-10	2.9308747392698976e-07	9.613611845165266	0.2978368826075492	0
agri_aa_oil__Oil_C182_C183	Zm00001d052183	gene_body	1	2.5276331068619846e-10	3.024926001227598e-07	9.597285964894809	0.2975764047024304	0
agri_aa_oil__Oil_C182_C183	Zm00001d020707	gene_body	1	2.5502164868372246e-10	3.032316332959756e-07	9.59342295091974	0.2975147323795219	0
agri_aa_oil__Oil_C182_C183	Zm00001d013787	gene_body	1	2.5641534918651367e-10	3.032316332959756e-07	9.591055981230118	0.2974769368856494	0
agri_aa_oil__Oil_C182_C183	Zm00001d013992	gene_body	1	2.5982561046132846e-10	3.0545710120211334e-07	9.585318043663852	0.2973852912982926	0
agri_aa_oil__Oil_C182_C183	Zm00001d034770	gene_body	1	2.6600390483030657e-10	3.108916748758231e-07	9.575111988053866	0.2972222014005258	0
